libellé_du_département;année;tour;parti;tendance_politique;inscrits;abstentions;votants;exprimés;voix;%_voix/ins;%_voix/exp;taux_de_chômage;incidents_de_délinquance;pib;18-24_ans;25-34_ans;35-49_ans;50-64_ans;65_ans_et_plus;moyenne_du_parti_18-24_ans;moyenne_du_parti_25-34_ans;moyenne_du_parti_35-49_ans;moyenne_du_parti_50-64_ans;moyenne_du_parti_65_ans_et_plus
AIN;2022;2;La République en marche;Centre;438250;109568;328682;328682;166635;38,02281803;50,69793904;5,45;27221;28514;74051;72746;134750;131597;124779;24,3;19,3;26,6;28,1;37,5
AISNE;2022;2;La République en marche;Centre;373621;97965;275656;275656;102428;27,41494723;37,15790696;10,375;23597;24644;60806;54693;95598;104200;114880;24,3;19,3;26,6;28,1;37,5
ALLIER;2022;2;La République en marche;Centre;249954;62311;187643;187643;87645;35,06445186;46,70837708;7,625;13505;27292;34565;29379;54926;69663;96546;24,3;19,3;26,6;28,1;37,5
ALPESDEHAUTEPROVENCE;2022;2;La République en marche;Centre;128077;31907;96170;96170;41659;32,52652701;43,31808256;8,225;7821;28395;15633;14985;28493;36148;44800;24,3;19,3;26,6;28,1;37,5
HAUTESALPES;2022;2;La République en marche;Centre;113540;27296;86244;86244;42213;37,17896776;48,94601364;6,775;6025;28286;13043;13023;24942;30559;36844;24,3;19,3;26,6;28,1;37,5
ALPESMARITIMES;2022;2;La République en marche;Centre;778703;217148;561555;561555;261989;33,64427773;46,65420128;7,375;69128;38163;117058;115854;202654;221093;277911;24,3;19,3;26,6;28,1;37,5
ARDECHE;2022;2;La République en marche;Centre;255891;62124;193767;193767;90053;35,19193719;46,47488995;8,05;12952;25235;32531;29195;58657;71148;87395;24,3;19,3;26,6;28,1;37,5
ARDENNES;2022;2;La République en marche;Centre;186220;48099;138121;138121;55093;29,58489958;39,88748995;9,375;11939;25834;28762;27417;47891;55910;60197;24,3;19,3;26,6;28,1;37,5
ARIEGE;2022;2;La République en marche;Centre;119047;29751;89296;89296;39298;33,01049165;44,0086902;9,4;6414;23551;15293;13647;27212;32975;41624;24,3;19,3;26,6;28,1;37,5
AUBE;2022;2;La République en marche;Centre;205599;51298;154301;154301;68840;33,48265313;44,61409842;9,5;15324;29745;38452;33663;55626;58886;69962;24,3;19,3;26,6;28,1;37,5
AUDE;2022;2;La République en marche;Centre;279959;68610;211349;211349;85465;30,52768441;40,43785398;10,05;16453;25206;37656;34409;65055;78964;103720;24,3;19,3;26,6;28,1;37,5
AVEYRON;2022;2;La République en marche;Centre;219480;49491;169989;169989;89955;40,98551121;52,91813;5,675;8088;28984;27367;25273;47690;58989;79956;24,3;19,3;26,6;28,1;37,5
BOUCHESDURHONE;2022;2;La République en marche;Centre;1411580;410707;1000873;1000873;481129;34,08443021;48,07093407;8,75;158111;42891;245731;240862;386332;393178;439484;24,3;19,3;26,6;28,1;37,5
CALVADOS;2022;2;La République en marche;Centre;512204;116324;395880;395880;218579;42,67420793;55,21344852;6,375;27671;31592;88947;75800;125057;133557;160641;24,3;19,3;26,6;28,1;37,5
CANTAL;2022;2;La République en marche;Centre;115741;25815;89926;89926;45015;38,89287288;50,05782532;4,025;4145;26313;13278;12280;24577;31902;41190;24,3;19,3;26,6;28,1;37,5
CHARENTE;2022;2;La République en marche;Centre;257508;64403;193105;193105;95656;37,14680709;49,5357448;6,9;15746;34389;35818;33915;60848;74377;92938;24,3;19,3;26,6;28,1;37,5
CHARENTEMARITIME;2022;2;La République en marche;Centre;518929;126022;392907;392907;201159;38,76426255;51,19761165;6,925;29002;29264;67355;57603;113309;137197;193068;24,3;19,3;26,6;28,1;37,5
CHER;2022;2;La République en marche;Centre;224457;60255;164202;164202;77739;34,63425066;47,34351591;7,45;11394;29042;30167;28549;49996;62739;80877;24,3;19,3;26,6;28,1;37,5
CORREZE;2022;2;La République en marche;Centre;185031;42851;142180;142180;68272;36,89760094;48,01800535;6,05;8478;28873;24152;21064;40411;50159;68327;24,3;19,3;26,6;28,1;37,5
COTEDOR;2022;2;La République en marche;Centre;366828;89553;277275;277275;144545;39,40402586;52,13055631;5,625;22358;38762;71365;62695;96313;102742;118222;24,3;19,3;26,6;28,1;37,5
COTESDARMOR;2022;2;La République en marche;Centre;471760;100204;371556;371556;209721;44,4550195;56,44398153;6,275;20255;29043;63331;52861;104033;124909;164540;24,3;19,3;26,6;28,1;37,5
CREUSE;2022;2;La République en marche;Centre;90958;23479;67479;67479;30554;33,59132787;45,27927207;6,95;4117;23192;10190;9244;17960;26056;35306;24,3;19,3;26,6;28,1;37,5
DORDOGNE;2022;2;La République en marche;Centre;318129;72606;245523;245523;111182;34,94871577;45,28374124;7,225;14408;25325;37028;34631;67508;91544;125077;24,3;19,3;26,6;28,1;37,5
DOUBS;2022;2;La République en marche;Centre;368437;95455;272982;272982;141917;38,51866126;51,98767684;6,525;24466;30718;69425;64616;102486;101875;111912;24,3;19,3;26,6;28,1;37,5
DROME;2022;2;La République en marche;Centre;382280;96584;285696;285696;143697;37,58946322;50,29716902;7,825;26397;36594;56872;53590;95879;103546;120522;24,3;19,3;26,6;28,1;37,5
EURE;2022;2;La République en marche;Centre;432273;104821;327452;327452;146751;33,94868521;44,81603411;7,05;25122;26893;65974;61243;115438;119416;122271;24,3;19,3;26,6;28,1;37,5
